filename	sample_ID	bak
C:\WORK\JKI\HS_BAK_2025\BAK027.FIN	L_01	L
C:\WORK\JKI\HS_BAK_2025\BAK028.FIN	D_01	D
C:\WORK\JKI\HS_BAK_2025\BAK029.FIN	L_02	L
C:\WORK\JKI\HS_BAK_2025\BAK030.FIN	D_02	D
C:\WORK\JKI\HS_BAK_2025\BAK031.FIN	L_03	L
C:\WORK\JKI\HS_BAK_2025\BAK032.FIN	D_03	D
C:\WORK\JKI\HS_BAK_2025\BAK033.FIN	C_01	C
C:\WORK\JKI\HS_BAK_2025\BAK034.FIN	C_02	C
C:\WORK\JKI\HS_BAK_2025\BAK036.FIN	D_04	D
C:\WORK\JKI\HS_BAK_2025\BAK037.FIN	D_05	D
C:\WORK\JKI\HS_BAK_2025\BAK038.FIN	L_04	L
C:\WORK\JKI\HS_BAK_2025\BAK039.FIN	D_06	D
C:\WORK\JKI\HS_BAK_2025\BAK040.FIN	L_05	L
C:\WORK\JKI\HS_BAK_2025\BAK041.FIN	L_06	L
C:\WORK\JKI\HS_BAK_2025\BAK042.FIN	C_03	C
C:\WORK\JKI\HS_BAK_2025\BAK043.FIN	C_04	C
C:\WORK\JKI\HS_BAK_2025\BAK046.FIN	L_07	L
C:\WORK\JKI\HS_BAK_2025\BAK047.FIN	L_08	L
C:\WORK\JKI\HS_BAK_2025\BAK048.FIN	D_07	D
C:\WORK\JKI\HS_BAK_2025\BAK049.FIN	L_09	L
C:\WORK\JKI\HS_BAK_2025\BAK050.FIN	D_08	D
C:\WORK\JKI\HS_BAK_2025\BAK051.FIN	C_05	C
C:\WORK\JKI\HS_BAK_2025\BAK052.FIN	C_06	C
