filename	name	sn	area
C:\WORK\JKI\HS_BAK_2025\BAK028.FIN	1-Hexanol, 2-ethyl- _userJKI	37	99450561
C:\WORK\JKI\HS_BAK_2025\BAK029.FIN	1-Hexanol, 2-ethyl- _userJKI	41	158244977
C:\WORK\JKI\HS_BAK_2025\BAK030.FIN	1-Hexanol, 2-ethyl- _userJKI	37	98780837
C:\WORK\JKI\HS_BAK_2025\BAK031.FIN	1-Hexanol, 2-ethyl- _userJKI	33	97962855
C:\WORK\JKI\HS_BAK_2025\BAK032.FIN	1-Hexanol, 2-ethyl- _userJKI	31	78178887
C:\WORK\JKI\HS_BAK_2025\BAK036.FIN	1-Hexanol, 2-ethyl- _userJKI	35	128567607
C:\WORK\JKI\HS_BAK_2025\BAK037.FIN	1-Hexanol, 2-ethyl- _userJKI	44	181958887
C:\WORK\JKI\HS_BAK_2025\BAK038.FIN	1-Hexanol, 2-ethyl- _userJKI	62	281217104
C:\WORK\JKI\HS_BAK_2025\BAK039.FIN	1-Hexanol, 2-ethyl- _userJKI	54	212138865
C:\WORK\JKI\HS_BAK_2025\BAK040.FIN	1-Hexanol, 2-ethyl- _userJKI	61	313820640
C:\WORK\JKI\HS_BAK_2025\BAK041.FIN	1-Hexanol, 2-ethyl- _userJKI	70	371963006
C:\WORK\JKI\HS_BAK_2025\BAK042.FIN	1-Hexanol, 2-ethyl- _userJKI	45	120984560
C:\WORK\JKI\HS_BAK_2025\BAK043.FIN	1-Hexanol, 2-ethyl- _userJKI	42	89153239
C:\WORK\JKI\HS_BAK_2025\BAK050.FIN	1-Hexanol, 2-ethyl- _userJKI	25	41040567
C:\WORK\JKI\HS_BAK_2025\BAK051.FIN	1-Hexanol, 2-ethyl- _userJKI	32	63193961
C:\WORK\JKI\HS_BAK_2025\BAK052.FIN	1-Hexanol, 2-ethyl- _userJKI	37	69286050
C:\WORK\JKI\HS_BAK_2025\BAK028.FIN	1-Pentene, 2,4,4-trimethyl-	103	1104343963
C:\WORK\JKI\HS_BAK_2025\BAK029.FIN	1-Pentene, 2,4,4-trimethyl-	107	1225251476
C:\WORK\JKI\HS_BAK_2025\BAK030.FIN	1-Pentene, 2,4,4-trimethyl-	110	1137344285
C:\WORK\JKI\HS_BAK_2025\BAK031.FIN	1-Pentene, 2,4,4-trimethyl-	88	789597487
C:\WORK\JKI\HS_BAK_2025\BAK032.FIN	1-Pentene, 2,4,4-trimethyl-	117	1467695262
C:\WORK\JKI\HS_BAK_2025\BAK033.FIN	1-Pentene, 2,4,4-trimethyl-	147	2453440900
C:\WORK\JKI\HS_BAK_2025\BAK034.FIN	1-Pentene, 2,4,4-trimethyl-	112	1135789390
C:\WORK\JKI\HS_BAK_2025\BAK046.FIN	1-Pentene, 2,4,4-trimethyl-	83	727817919
C:\WORK\JKI\HS_BAK_2025\BAK047.FIN	1-Pentene, 2,4,4-trimethyl-	95	610433693
C:\WORK\JKI\HS_BAK_2025\BAK048.FIN	1-Pentene, 2,4,4-trimethyl-	103	968121724
C:\WORK\JKI\HS_BAK_2025\BAK051.FIN	1-Pentene, 2,4,4-trimethyl-	86	868016460
C:\WORK\JKI\HS_BAK_2025\BAK029.FIN	2-Decanone	98	985841023
C:\WORK\JKI\HS_BAK_2025\BAK031.FIN	2-Decanone	81	697069199
C:\WORK\JKI\HS_BAK_2025\BAK038.FIN	2-Decanone	115	1178312344
C:\WORK\JKI\HS_BAK_2025\BAK040.FIN	2-Decanone	114	1327881313
C:\WORK\JKI\HS_BAK_2025\BAK041.FIN	2-Decanone	194	3499233302
C:\WORK\JKI\HS_BAK_2025\BAK046.FIN	2-Decanone	75	548065493
C:\WORK\JKI\HS_BAK_2025\BAK047.FIN	2-Decanone	98	779645959
C:\WORK\JKI\HS_BAK_2025\BAK049.FIN	2-Decanone	82	431341971
C:\WORK\JKI\HS_BAK_2025\BAK027.FIN	2-Decanone	72	605590382
C:\WORK\JKI\HS_BAK_2025\BAK029.FIN	2-Heptanone -userJKI	66	462292601
C:\WORK\JKI\HS_BAK_2025\BAK031.FIN	2-Heptanone -userJKI	69	475119369
C:\WORK\JKI\HS_BAK_2025\BAK038.FIN	2-Heptanone -userJKI	61	326657027
C:\WORK\JKI\HS_BAK_2025\BAK040.FIN	2-Heptanone -userJKI	57	306988649
C:\WORK\JKI\HS_BAK_2025\BAK041.FIN	2-Heptanone -userJKI	84	685922005
C:\WORK\JKI\HS_BAK_2025\BAK046.FIN	2-Heptanone -userJKI	69	442979915
C:\WORK\JKI\HS_BAK_2025\BAK047.FIN	2-Heptanone -userJKI	84	471623924
C:\WORK\JKI\HS_BAK_2025\BAK049.FIN	2-Heptanone -userJKI	76	450535381
C:\WORK\JKI\HS_BAK_2025\BAK050.FIN	2-Heptanone -userJKI	24	30890925
C:\WORK\JKI\HS_BAK_2025\BAK027.FIN	2-Heptanone -userJKI	61	394036526
C:\WORK\JKI\HS_BAK_2025\BAK029.FIN	2-Heptanone, 6-methyl-	89	761166540
